id;amount;status;created_at;updated_at;user_id;moderated_at;deleted_account_id;reimbursement_date;cash_request_received_date;money_back_date;transfer_type;send_at;recovery_status;reco_creation;reco_last_update;payback_delay_days;payback_delay_days_cifra
21814;100.0;money_back;17/10/2020;18/12/2020;48957.0;;;;19/10/2020;05/11/2020;instant;17/10/2020;;;;<17 * Days>;17
21804;50.0;money_back;17/10/2020;18/12/2020;74521.0;;;;18/10/2020;14/11/2020;instant;17/10/2020;;;;<27 * Days>;27
21785;100.0;money_back;17/10/2020;18/12/2020;76652.0;;;;18/10/2020;13/11/2020;instant;17/10/2020;;;;<26 * Days>;26
23579;50.0;money_back;23/10/2020;18/12/2020;45006.0;;;;24/10/2020;03/11/2020;instant;23/10/2020;;;;<10 * Days>;10
21568;30.0;money_back;16/10/2020;18/12/2020;37236.0;16/10/2020;;31/10/2020;20/10/2020;31/10/2020;instant;17/10/2020;;;;<11 * Days>;11
21806;100.0;money_back;17/10/2020;18/12/2020;32407.0;17/10/2020;;;20/10/2020;21/11/2020;instant;19/10/2020;;;;<32 * Days>;32
21787;90.0;money_back;17/10/2020;18/12/2020;48465.0;;;01/11/2020;27/10/2020;01/11/2020;regular;24/10/2020;;;;<5 * Days>;5
21792;100.0;money_back;17/10/2020;18/12/2020;76470.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
21819;100.0;money_back;17/10/2020;18/12/2020;76920.0;;;;20/10/2020;08/11/2020;instant;17/10/2020;;;;<19 * Days>;19
21816;100.0;money_back;17/10/2020;18/12/2020;73858.0;;;;20/10/2020;02/11/2020;instant;17/10/2020;;;;<13 * Days>;13
21802;100.0;money_back;17/10/2020;18/12/2020;71866.0;;;;19/10/2020;30/11/2020;instant;17/10/2020;;;;<42 * Days>;42
25314;25.0;money_back;27/10/2020;18/12/2020;68549.0;;;;28/10/2020;05/11/2020;instant;27/10/2020;;;;<8 * Days>;8
21817;100.0;money_back;17/10/2020;18/12/2020;71826.0;;;;19/10/2020;04/12/2020;instant;17/10/2020;;;;<46 * Days>;46
21789;50.0;money_back;17/10/2020;18/12/2020;76649.0;;;;20/10/2020;08/11/2020;instant;17/10/2020;;;;<19 * Days>;19
21780;100.0;money_back;17/10/2020;18/12/2020;75371.0;;;;20/10/2020;26/10/2020;instant;17/10/2020;;;;<6 * Days>;6
21800;50.0;money_back;17/10/2020;18/12/2020;76790.0;;;;18/10/2020;26/10/2020;instant;17/10/2020;;;;<8 * Days>;8
21795;50.0;money_back;17/10/2020;18/12/2020;35470.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
24319;50.0;money_back;25/10/2020;18/12/2020;91828.0;;;;26/10/2020;05/11/2020;instant;25/10/2020;;;;<10 * Days>;10
18161;50.0;money_back;28/09/2020;18/12/2020;40682.0;28/09/2020;;;29/09/2020;06/11/2020;instant;05/10/2020;completed;16/10/2020;06/11/2020;<38 * Days>;38
21847;100.0;money_back;17/10/2020;18/12/2020;7030.0;;;;20/10/2020;05/11/2020;instant;17/10/2020;;;;<16 * Days>;16
